Umsatzauskunft - gebuchte Umsätze							
Name	Peter Müller						
BLZ	10010010						
Kontonummer	123456780						
IBAN	DE29100100100123456780						
Aktueller Kontostand	4 745,00 €						
Summe vorgemerkter Umsätze	0,00 €						
							
Buchungstag	Wertstellung	Umsatzart	Buchungsdetails	Auftraggeber	Empfänger	Betrag (€)	Saldo (€)
10.23.2014	10.23.2014	Lastschrift	012345678998764332100123456	Peter Müller	PENNY SAGT DANKE. 63537256	30,00 €	4 745,00 €
10.23.2014	10.23.2014	Lastschrift	012345678213215432100123456	Peter Müller	REWE SAGT DANKE. 63788827	20,00 €	4 775,00 €
10.23.2014	10.23.2014	Kartenverfügung	EC 22344565 736482737887IC0 3C34DB691D7DDB1E7352F398A 	Peter Müller	NETTO-EINFACH BESSER 4673	25,00 €	4 795,00 €
10.22.2014	10.22.2014	Kartenverfügung	EC 22346765 7473862364IC0 7324BB22364565E740B217B368 	Peter Müller	63798 EDEKA SCHERMELLEH	30,00 €	4 820,00 €
10.22.2014	10.22.2014	Lastschrift	763728617837257492777736482 ELV73274628 03.11 15.21 ME1 	Peter Müller	NETTO-EINFACH BESSER 2345	20,00 €	4 850,00 €
10.22.2014	10.22.2014	Kartenverfügung	EC 23345765 65483747838IC1 	Peter Müller	DM DROGERIEMARKT SAGT DANKE	25,00 €	4 870,00 €
10.22.2014	10.22.2014	Kartenverfügung	EC 42345765 748387463786IC0 ACBB7CABE738746278376DE7BC 	Peter Müller	RAN TS KISSING	30,00 €	4 895,00 €
10.21.2014	10.21.2014	Lastschrift	012345678998765432100123456	Peter Müller	REWE SAGT DANKE. 62716652	20,00 €	4 925,00 €
10.21.2014	10.21.2014	Kartenverfügung	EC 63725825 789236287639IC0 3A828B414ADAA67893B8367398 	Peter Müller	DANKE, IHR LIDL	25,00 €	4 945,00 €
10.21.2014	10.21.2014	Lastschrift	873742847367938726667827467 ELV78376582 31.10 17.47 ME0 	Peter Müller	NETTO-EINFACH BESSER 6273	30,00 €	4 970,00 €
10.21.2014	10.21.2014	Kartenverfügung	EC 73827648 748375678273IC1 2EF3DAE56C48E748376ED8BC23 	Peter Müller	DEUTSCHE BAHN MERING	20,00 €	5 000,00 €
