Konto Inhaber;Peter Sample;;;;;;
Datum;09.04.14;;;;;;
Konto;672344523;;;;;;
Auftragskonto;Valutadatum;Buchungstext;Verwendungszweck;Beguenstigter/Zahlungspflichtiger;Betrag;Waehrung;Info
672344523;09.04.14;LASTSCHRIFT; ZAHLUNGSBELEG 004295376201 RGNR.150119996720         24,98  EUR K206636818;1&1 TELECOM GMBH;-39,2;EUR;Umsatz gebucht
672344523;08.04.14;SONSTIGER EINZUG;EC 59085019 040414060457OC0;DEUTSCHE BAHN DACHAU BAHNH;-21;EUR;Umsatz gebucht
672344523;08.04.14;SONSTIGER EINZUG;EC 59080772 070414180618OC0;DEUTSCHE BAHN MUENCHEN HBF;-43,7;EUR;Umsatz gebucht
672344523;04.04.14;GELDAUTOMAT;04.04/06.42UHR GS 178 EUR      50,00;GA NR00003888 BLZ70150000 0;-50,00;EUR;Umsatz gebucht
672344523;01.04.14;DAUERAUFTRAG;SVWZ+Miete + Nebenkosten;Frau Miller;-500;EUR;Umsatz gebucht
672344523;01.04.14;ENTGELTABSCHLUSS;Entgeltabrechnung siehe Anlage;;-17;EUR;Umsatz gebucht
672344523;31.03.14;LASTSCHRIFT;290317480047676171299944280 ELV65460749 29.03 17.48 ME0;NETTO-EINFACH BESSER 4428;-32,9;EUR;Umsatz gebucht
672344523;29.03.14;GELDAUTOMAT;29.03/13.25UHR SCHWABHSN.;GA NR00002014 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;28.03.14;LOHN  GEHALT;EREF+SEPA-Zahlung vom 20140 326 lfdNr-063 SVWZ+BEZUEGE 03.2014;Microsoft CorporationH;3000;EUR;Umsatz gebucht
672344523;25.03.14;SONSTIGER EINZUG;EC 54505036 220314161852OC0;85253 EDEKA KUK;-5,3;EUR;Umsatz gebucht
672344523;22.03.14;GELDAUTOMAT;22.03/12.38UHR ERDWEG;GA NR00002017 BLZ70051540 0;-50,00;EUR;Umsatz gebucht
672344523;14.03.14;GELDAUTOMAT;14.03/06.51UHR GS 178 EUR      50,00;GA NR00003888 BLZ70150000 0;-50,00;EUR;Umsatz gebucht
672344523;14.03.14;FOLGELASTSCHRIFT;EREF+B396438798234 MREF+20852HM1899954 CRED+DE41EON00000129793 SVWZ+VK 272005842752 Waldst r 4 Erdweg ABSCHLAG 03 Stro m WIR SAGEN DANKE;E.ON Energie Deutschland Gm bH;-19,1;EUR;Umsatz gebucht
672344523;13.03.14;SONSTIGER EINZUG;EC 65423065 120314185208OC0;SATURN SAGT DANKE 65423065;-38,3;EUR;Umsatz gebucht
